brand_name,property,city,room_type,available_contracts,contract_title,academic_year,price_pw,currency_symbol,available,start_date,end_date,contract_length_weeks,base_hub_url
Universal Student Living,200 Cowgate,Edinburgh,4 Bed Classic Ensuite,1,200 Cowgate - 4 Bed Classic Ensuite - 26/27 - 29/08 - 51wk 2026,2026 / 2027,225,£,True,2026-08-29,2027-08-21,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=4+Bed+Classic+Ensuite&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Universal Student Living,200 Cowgate,Edinburgh,5 Bed Classic Ensuite,1,200 Cowgate - 5 Bed Classic Ensuite - 26/27 - 29/08 - 51wk 2026,2026 / 2027,215,£,True,2026-08-29,2027-08-21,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=5+Bed+Classic+Ensuite&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Universal Student Living,200 Cowgate,Edinburgh,6 Bed Classic Ensuite,1,200 Cowgate - 6 Bed Classic Ensuite - 26/27 - 29/08 - 51wk 2026,2026 / 2027,210,£,True,2026-08-29,2027-08-21,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=6+Bed+Classic+Ensuite&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Universal Student Living,200 Cowgate,Edinburgh,6 Bed Standard Ensuite,1,200 Cowgate - 6 Bed Standard Ensuite - 26/27 - 29/08 - 51wk 2026,2026 / 2027,205,£,True,2026-08-29,2027-08-21,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=6+Bed+Standard+Ensuite&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Universal Student Living,200 Cowgate,Edinburgh,Penthouse,1,200 Cowgate - Penthouse - 26/27 - 29/08 - 51wk 2026,2026 / 2027,288,£,True,2026-08-29,2027-08-21,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=Penthouse&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Universal Student Living,200 Cowgate,Edinburgh,Studio,1,200 Cowcate - Studio - 26/27 - 29/08 - 51wk 2026,2026 / 2027,285,£,True,2026-08-29,2027-08-21,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,1 Bed Apartment,3,26 Great George Street - 1 Bed Apartment - 26/27 - 12/09 - 51wk 2026,2026 / 2027,395,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=1+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,1 Bed Apartment,3,26 Great George Street - 1 Bed Apartment - 25/26 - 28/02 - 21wk 2026,2025 / 2026,395,£,True,2026-02-28,2026-07-25,21,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=1+Bed+Apartment&tenancyLength=21+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,1 Bed Apartment,3,26 Great George Street - 1 Bed Apartment - 25/26 - 28/02 - 26wk 2026,2025 / 2026,0,£,True,2026-02-28,2026-08-29,26,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=1+Bed+Apartment&tenancyLength=26+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Classic Plus Studio,2,26 Great George Street - Classic Plus Studio - 26/27 - 12/09 - 45wk 2026,2026 / 2027,249,£,True,2026-09-12,2027-07-24,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Classic+Plus+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Classic Plus Studio,2,26 Great George Street - Classic Plus Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,239,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Classic+Plus+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Classic Studio,1,26 Great George Street - Classic Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,239,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Classic+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,5,26 Great George Street - Deluxe Studio - 25/26 - 28/02 - 21wk 2026,2025 / 2026,295,£,True,2026-02-28,2026-07-25,21,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio&tenancyLength=21+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,5,26 Great George Street - Deluxe Studio - 25/26 - 28/02 - 26wk 2026,2025 / 2026,295,£,True,2026-02-28,2026-08-29,26,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio&tenancyLength=26+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,5,26 Great George Street - Premium Studio - 26/27 - 12/09 - 45wk 2026,2026 / 2027,0,£,True,2026-09-12,2027-07-24,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,5,26 Great George Street - Premium Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,279,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,5,26 Great George Street - Deluxe Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,295,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio Plus,3,26 Great George Street - Deluxe Studio Plus - 25/26 - 28/02 - 21wk 2026,2025 / 2026,0,£,True,2026-02-28,2026-07-25,21,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio+Plus&tenancyLength=21+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio Plus,3,26 Great George Street - Deluxe Studio Plus - 25/26 - 28/02 - 26wk 2026,2025 / 2026,0,£,True,2026-02-28,2026-08-29,26,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio+Plus&tenancyLength=26+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio Plus,3,26 Great George Street - Deluxe Plus Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,325,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio+Plus&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Premium Plus Studio,4,26 Great George Street - Premium Plus Studio - 26/27 - 12/09 - 45wk 2026,2026 / 2027,305,£,True,2026-09-12,2027-07-24,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Plus+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Premium Plus Studio,4,26 Great George Street - Premium Plus Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,299,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Plus+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Premium Plus Studio,4,26 Great George Street - Premium Plus Studio - 25/26 - 28/02 - 21wk 2026,2025 / 2026,279,£,True,2026-02-28,2026-07-25,21,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Plus+Studio&tenancyLength=21+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Premium Plus Studio,4,26 Great George Street - Premium Plus Studio - 25/26 - 28/02 - 26wk 2026,2025 / 2026,279,£,True,2026-02-28,2026-08-29,26,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Plus+Studio&tenancyLength=26+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,26 Great George Street - Premium Studio - 26/27 - 12/09 - 45wk 2026,2026 / 2027,0,£,True,2026-09-12,2027-07-24,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,26 Great George Street - Premium Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,279,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,26 Great George Street - Premium Studio - 25/26 - 28/02 - 21wk 2026,2025 / 2026,259,£,True,2026-02-28,2026-07-25,21,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=21+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,26 Great George Street - Premium Studio - 25/26 - 28/02 - 26wk 2026,2025 / 2026,259,£,True,2026-02-28,2026-08-29,26,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=26+weeks&academicYear=2025+%2F+2026
